airline,year,quarter,metric,source_type,reason_code
ALK,2021,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2021,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2021,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2021,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2021,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2022,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2022,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2022,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2022,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2022,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2023,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2023,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2023,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2023,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2023,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2024,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2024,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2024,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2024,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2024,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2025,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2025,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2025,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
