Airline,Year,Quarter,Passenger Revenue,RPM,ASM,Profit Sharing,Long-Term Debt,Operating Revenue,Operating Expenses,Net Income
DAL,2019,FY,42277000000,237680000000,275379000000,1643000000,8052000000,47007000000,40389000000,4767000000
DAL,2019,Q1,9254000000,51617000000,62416000000,220000000,7435000000,10472000000,9452000000,730000000
DAL,2019,Q2,11368000000,63173000000,71754000000,518000000,7209000000,12536000000,10408000000,1443000000
DAL,2019,Q3,11410000000,66862000000,75742000000,517000000,7072000000,12560000000,10489000000,1495000000
DAL,2019,Q4,10245000000,56028000000,65468000000,387000000,8052000000,11439000000,10040000000,1099000000
DAL,2020,FY,12883000000,73412000000,134339000000,0,26531000000,17095000000,29564000000,-12385000000
DAL,2020,Q1,7569000000,43062000000,58885000000,0,11750000000,8592000000,9002000000,-534000000
DAL,2020,Q2,678000000,3621000000,10596000000,0,18539000000,1468000000,6283000000,-5717000000
DAL,2020,Q3,1938000000,11545000000,28290000000,0,28910000000,3062000000,9448000000,-5379000000
DAL,2020,Q4,2698000000,15183000000,36569000000,0,26531000000,3973000000,4831000000,-755000000
DAL,2021,FY,22519000000,134692000000,194474000000,0,23582000000,29899000000,28013000000,280000000
DAL,2021,Q1,2748000000,17948000000,40118000000,0,24802000000,4150000000,5548000000,-1177000000
DAL,2021,Q2,5339000000,33285000000,48529000000,0,25246000000,7126000000,6310000000,652000000
DAL,2021,Q3,7191000000,43057000000,54083000000,0,24077000000,9154000000,6949000000,1212000000
DAL,2021,Q4,7241000000,40402000000,51744000000,0,23582000000,9470000000,9207000000,-408000000
DAL,2022,FY,40218000000,195480000000,233226000000,563000000,19326000000,50582000000,46921000000,1318000000
DAL,2022,Q1,6907000000,38700000000,51810000000,0,22939000000,9348000000,10131000000,-940000000
DAL,2022,Q2,10958000000,51519000000,58903000000,54000000,21444000000,13824000000,12305000000,735000000
DAL,2022,Q3,11464000000,54786000000,63007000000,237000000,19800000000,13975000000,12519000000,695000000
DAL,2022,Q4,10889000000,50476000000,59506000000,272000000,19326000000,13435000000,11965000000,828000000
DAL,2023,FY,48909000000,232241000000,272033000000,1383000000,15985000000,58048000000,52527000000,4609000000
DAL,2023,Q1,10411000000,49687000000,61351000000,72000000,18490000000,12759000000,13036000000,-363000000
DAL,2023,Q2,13205000000,60804000000,68993000000,595000000,16870000000,15578000000,13087000000,1827000000
DAL,2023,Q3,13119000000,64095000000,73226000000,417000000,16347000000,15488000000,13504000000,1108000000
DAL,2023,Q4,12174000000,57655000000,68462000000,299000000,15985000000,14223000000,12900000000,2037000000
DAL,2024,FY,50894000000,246145000000,288394000000,1389000000,13546000000,61643000000,55648000000,3457000000
